appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
764,75700,310000,1,20200110091500020,2,,
765,75800,310000,1,20200110091500020,2,,
766,75900,310000,1,20200110091500020,2,,
767,76000,310000,1,20200110091500020,2,,
780,76100,310000,1,20200110091500020,2,,
781,76200,310000,1,20200110091500020,2,,
782,76300,310000,1,20200110091500020,2,,
783,76400,310000,1,20200110091500020,2,,
785,76500,310000,1,20200110091500020,2,,
786,76600,310000,1,20200110091500020,2,,
789,76700,310000,1,20200110091500020,2,,
810,76800,310000,1,20200110091500020,2,,
815,76900,310000,1,20200110091500020,2,,
816,77000,310000,1,20200110091500020,2,,
817,77100,310000,1,20200110091500020,2,,
818,82200,300000,2,20200110091500020,2,,
821,82300,300000,2,20200110091500020,2,,
822,82400,300000,2,20200110091500020,2,,
823,83500,300000,2,20200110091500020,2,,
861,82500,300000,2,20200110091500020,2,,
864,82600,300000,2,20200110091500020,2,,
865,82700,300000,2,20200110091500020,2,,
866,82800,300000,2,20200110091500020,2,,
867,82900,300000,2,20200110091500020,2,,
868,83000,300000,2,20200110091500020,2,,
869,83100,300000,2,20200110091500020,2,,
870,83200,300000,2,20200110091500020,2,,
871,83300,300000,2,20200110091500020,2,,
872,83400,300000,2,20200110091500020,2,,
873,83500,300000,2,20200110091500020,2,,
874,83600,300000,2,20200110091500020,2,,
875,83700,300000,2,20200110091500020,2,,
888,83800,300000,2,20200110091500020,2,,
889,83900,300000,2,20200110091500020,2,,
890,84000,300000,2,20200110091500020,2,,
891,84100,300000,2,20200110091500020,2,,
892,84200,300000,2,20200110091500020,2,,
893,84300,300000,2,20200110091500020,2,,
894,84400,300000,2,20200110091500020,2,,
895,84500,300000,2,20200110091500020,2,,
896,84600,300000,2,20200110091500020,2,,
897,84700,300000,2,20200110091500020,2,,
898,84800,300000,2,20200110091500020,2,,
899,84900,300000,2,20200110091500020,2,,
900,85000,300000,2,20200110091500020,2,,
901,85100,300000,2,20200110091500020,2,,
902,85200,300000,2,20200110091500020,2,,
903,85300,300000,2,20200110091500020,2,,
905,85400,300000,2,20200110091500020,2,,
1557,75600,50000,1,20200110091500030,2,,
1560,74100,50000,1,20200110091500030,2,,
1589,78800,50000,2,20200110091500030,2,,
1590,80100,50000,2,20200110091500030,2,,
1665,80000,3000000,2,20200110091500030,2,,
2272,79200,40000,2,20200110091500040,2,,
2275,84700,40000,2,20200110091500040,2,,
3431,85300,30000,2,20200110091500060,2,,
3699,78600,50000,2,20200110091500060,2,,
3764,82000,50000,2,20200110091500060,2,,
3780,82000,50000,2,20200110091500060,2,,
3845,73000,310000,1,20200110091500070,2,,
3847,73100,310000,1,20200110091500070,2,,
3849,73200,310000,1,20200110091500070,2,,
3851,73300,310000,1,20200110091500070,2,,
3854,73400,310000,1,20200110091500070,2,,
3855,73500,310000,1,20200110091500070,2,,
3856,73600,310000,1,20200110091500070,2,,
3857,73700,310000,1,20200110091500070,2,,
3863,73800,310000,1,20200110091500070,2,,
3866,73900,310000,1,20200110091500070,2,,
3870,74000,310000,1,20200110091500070,2,,
3873,74100,310000,1,20200110091500070,2,,
3874,74200,310000,1,20200110091500070,2,,
3876,74300,310000,1,20200110091500070,2,,
3889,74400,310000,1,20200110091500070,2,,
3891,74500,310000,1,20200110091500070,2,,
3892,74600,310000,1,20200110091500070,2,,
3893,74700,310000,1,20200110091500070,2,,
3894,74800,310000,1,20200110091500070,2,,
3896,74900,310000,1,20200110091500070,2,,
3898,75000,310000,1,20200110091500070,2,,
3899,75100,310000,1,20200110091500070,2,,
3910,75200,310000,1,20200110091500070,2,,
3915,75300,310000,1,20200110091500070,2,,
3916,75400,310000,1,20200110091500070,2,,
3917,75500,310000,1,20200110091500070,2,,
3920,71000,310000,1,20200110091500070,2,,
3921,71100,310000,1,20200110091500070,2,,
3922,71200,310000,1,20200110091500070,2,,
3923,71300,310000,1,20200110091500070,2,,
3924,71400,310000,1,20200110091500070,2,,
3925,71500,310000,1,20200110091500070,2,,
3926,71600,310000,1,20200110091500070,2,,
3928,71700,310000,1,20200110091500070,2,,
3929,71800,310000,1,20200110091500070,2,,
3932,71900,310000,1,20200110091500070,2,,
3933,72000,310000,1,20200110091500070,2,,
3934,72100,310000,1,20200110091500070,2,,
3938,72200,310000,1,20200110091500070,2,,
3939,72300,310000,1,20200110091500070,2,,
3940,72400,310000,1,20200110091500070,2,,
3941,72500,310000,1,20200110091500070,2,,
3942,72600,310000,1,20200110091500070,2,,
3943,72700,310000,1,20200110091500070,2,,
3944,72800,310000,1,20200110091500070,2,,
3947,72900,310000,1,20200110091500070,2,,
3954,70100,310000,1,20200110091500070,2,,
3970,70200,310000,1,20200110091500070,2,,
3980,70300,310000,1,20200110091500070,2,,
4000,70400,310000,1,20200110091500070,2,,
4001,70500,310000,1,20200110091500070,2,,
4018,70600,310000,1,20200110091500070,2,,
4019,70700,310000,1,20200110091500070,2,,
4031,70800,310000,1,20200110091500070,2,,
4032,70900,310000,1,20200110091500070,2,,
4389,80000,170000,2,20200110091500070,2,,
4390,83900,170000,2,20200110091500070,2,,
5165,78900,500000,2,20200110091500090,2,,
5301,79900,60000,2,20200110091500100,2,,
5302,82200,60000,2,20200110091500100,2,,
5303,84600,70000,2,20200110091500100,2,,
5371,72900,200000,1,20200110091500100,2,,
5372,71200,200000,1,20200110091500100,2,,
5551,78900,300000,2,20200110091500100,2,,
5750,85300,90000,2,20200110091500110,2,,
6527,78900,310000,2,20200110091500120,2,,
7090,85000,100000,2,20200110091500140,2,,
7349,73700,10000,1,20200110091500150,2,,
7825,85400,510000,2,20200110091500160,2,,
7990,81400,10000,1,20200110091500160,2,,
8333,78000,140000,2,20200110091500170,2,,
8334,78500,140000,2,20200110091500170,2,,
8335,79000,140000,2,20200110091500170,2,,
8336,79500,140000,2,20200110091500170,2,,
8338,80000,140000,2,20200110091500170,2,,
8339,80500,140000,2,20200110091500170,2,,
8344,81000,140000,2,20200110091500170,2,,
8345,81500,140000,2,20200110091500170,2,,
8346,82000,140000,2,20200110091500170,2,,
8347,82500,140000,2,20200110091500170,2,,
8349,83000,140000,2,20200110091500170,2,,
8360,83500,140000,2,20200110091500170,2,,
8361,84000,140000,2,20200110091500170,2,,
8362,84500,140000,2,20200110091500170,2,,
8363,85000,140000,2,20200110091500170,2,,
8364,85400,140000,2,20200110091500170,2,,
8437,82600,10000,2,20200110091500170,2,,
8729,82000,390000,2,20200110091500180,2,,
8778,79000,20000,2,20200110091500180,2,,
8783,81400,10000,1,20200110091500180,2,,
9125,79900,190000,2,20200110091500190,2,,
10003,74000,140000,1,20200110091500200,2,,
10004,75000,140000,1,20200110091500200,2,,
10006,74500,140000,1,20200110091500200,2,,
10007,75500,140000,1,20200110091500200,2,,
10008,76000,140000,1,20200110091500200,2,,
10009,76500,140000,1,20200110091500200,2,,
10087,78200,100000,2,20200110091500200,2,,
10230,77000,140000,1,20200110091500200,2,,
10313,85300,230000,2,20200110091500200,2,,
10317,85400,1000000,2,20200110091500200,2,,
9952,69800,140000,1,20200110091500200,2,,
9955,70000,140000,1,20200110091500200,2,,
9957,70500,140000,1,20200110091500200,2,,
9958,71000,140000,1,20200110091500200,2,,
9959,71500,140000,1,20200110091500200,2,,
9984,72000,140000,1,20200110091500200,2,,
9985,72500,140000,1,20200110091500200,2,,
9992,73000,140000,1,20200110091500200,2,,
9994,73500,140000,1,20200110091500200,2,,
10427,80000,100000,2,20200110091500210,2,,
10528,79900,35300,2,20200110091500210,2,,
11498,85300,10000,2,20200110091500230,2,,
11527,77300,1000000,1,20200110091500230,2,,
11969,79200,200000,2,20200110091500240,2,,
12060,77600,10000,1,20200110091500240,2,,
12468,76000,100000,1,20200110091500250,2,,
12564,83100,10000,2,20200110091500250,2,,
13211,79900,10000,2,20200110091500260,2,,
13212,81600,10000,2,20200110091500260,2,,
13912,80000,1000000,2,20200110091500270,2,,
14187,80900,150000,2,20200110091500270,2,,
15139,78500,40000,2,20200110091500300,2,,
17419,79200,760000,2,20200110091500340,2,,
17423,85400,6300000,2,20200110091500340,2,,
17426,85400,1820000,2,20200110091500340,2,,
18171,85200,20000,2,20200110091500350,2,,
19588,77000,250000,1,20200110091500380,2,,
19922,80800,100000,2,20200110091500390,2,,
19925,81800,100000,2,20200110091500390,2,,
